Code Pays,Pays,Code Élément,Élément,Code Produit,Produit,Année,Valeur,Note
108,Kazakhstan,511,Population totale,3010,Population-Estimations,2017,18080019.0,
114,Kenya,511,Population totale,3010,Population-Estimations,2017,50221142.0,
113,Kirghizistan,511,Population totale,3010,Population-Estimations,2017,6189733.0,
83,Kiribati,511,Population totale,3010,Population-Estimations,2017,114158.0,
118,Koweït,511,Population totale,3010,Population-Estimations,2017,4056099.0,
122,Lesotho,511,Population totale,3010,Population-Estimations,2017,2091534.0,
119,Lettonie,511,Population totale,3010,Population-Estimations,2017,1951097.0,
121,Liban,511,Population totale,3010,Population-Estimations,2017,6819373.0,
123,Libéria,511,Population totale,3010,Population-Estimations,2017,4702226.0,
124,Libye,511,Population totale,3010,Population-Estimations,2017,6580724.0,
125,Liechtenstein,511,Population totale,3010,Population-Estimations,2017,37800.0,
126,Lituanie,511,Population totale,3010,Population-Estimations,2017,2845414.0,
256,Luxembourg,511,Population totale,3010,Population-Estimations,2017,591910.0,
154,Macédoine du Nord,511,Population totale,3010,Population-Estimations,2017,2081996.0,
129,Madagascar,511,Population totale,3010,Population-Estimations,2017,25570512.0,
131,Malaisie,511,Population totale,3010,Population-Estimations,2017,31104646.0,
130,Malawi,511,Population totale,3010,Population-Estimations,2017,17670196.0,
132,Maldives,511,Population totale,3010,Population-Estimations,2017,496402.0,
133,Mali,511,Population totale,3010,Population-Estimations,2017,18512430.0,
134,Malte,511,Population totale,3010,Population-Estimations,2017,437933.0,
143,Maroc,511,Population totale,3010,Population-Estimations,2017,35581255.0,
135,Martinique,511,Population totale,3010,Population-Estimations,2017,375948.0,
137,Maurice,511,Population totale,3010,Population-Estimations,2017,1264499.0,
136,Mauritanie,511,Population totale,3010,Population-Estimations,2017,4282570.0,
270,Mayotte,511,Population totale,3010,Population-Estimations,2017,252957.0,
138,Mexique,511,Population totale,3010,Population-Estimations,2017,124777324.0,
145,Micronésie (États fédérés de),511,Population totale,3010,Population-Estimations,2017,111459.0,
140,Monaco,511,Population totale,3010,Population-Estimations,2017,38392.0,
141,Mongolie,511,Population totale,3010,Population-Estimations,2017,3113786.0,
273,Monténégro,511,Population totale,3010,Population-Estimations,2017,627563.0,
142,Montserrat,511,Population totale,3010,Population-Estimations,2017,4984.0,
144,Mozambique,511,Population totale,3010,Population-Estimations,2017,28649018.0,
28,Myanmar,511,Population totale,3010,Population-Estimations,2017,53382523.0,
147,Namibie,511,Population totale,3010,Population-Estimations,2017,2402633.0,
148,Nauru,511,Population totale,3010,Population-Estimations,2017,10573.0,
149,Népal,511,Population totale,3010,Population-Estimations,2017,27632681.0,
157,Nicaragua,511,Population totale,3010,Population-Estimations,2017,6384846.0,
158,Niger,511,Population totale,3010,Population-Estimations,2017,21602382.0,
159,Nigéria,511,Population totale,3010,Population-Estimations,2017,190873244.0,
160,Nioué,511,Population totale,3010,Population-Estimations,2017,1609.0,
162,Norvège,511,Population totale,3010,Population-Estimations,2017,5296326.0,
153,Nouvelle-Calédonie,511,Population totale,3010,Population-Estimations,2017,277150.0,
156,Nouvelle-Zélande,511,Population totale,3010,Population-Estimations,2017,4702034.0,
221,Oman,511,Population totale,3010,Population-Estimations,2017,4665928.0,
226,Ouganda,511,Population totale,3010,Population-Estimations,2017,41166588.0,
235,Ouzbékistan,511,Population totale,3010,Population-Estimations,2017,31959785.0,
165,Pakistan,511,Population totale,3010,Population-Estimations,2017,207906209.0,
180,Palaos,511,Population totale,3010,Population-Estimations,2017,17808.0,
299,Palestine,511,Population totale,3010,Population-Estimations,2017,4747227.0,
166,Panama,511,Population totale,3010,Population-Estimations,2017,4106769.0,
168,Papouasie-Nouvelle-Guinée,511,Population totale,3010,Population-Estimations,2017,8438036.0,
169,Paraguay,511,Population totale,3010,Population-Estimations,2017,6867061.0,
150,Pays-Bas,511,Population totale,3010,Population-Estimations,2017,17021347.0,
170,Pérou,511,Population totale,3010,Population-Estimations,2017,31444298.0,
171,Philippines,511,Population totale,3010,Population-Estimations,2017,105172925.0,
173,Pologne,511,Population totale,3010,Population-Estimations,2017,37953180.0,
70,Polynésie française,511,Population totale,3010,Population-Estimations,2017,276102.0,
177,Porto Rico,511,Population totale,3010,Population-Estimations,2017,3163667.0,
174,Portugal,511,Population totale,3010,Population-Estimations,2017,10288527.0,
179,Qatar,511,Population totale,3010,Population-Estimations,2017,2724728.0,
212,République arabe syrienne,511,Population totale,3010,Population-Estimations,2017,17095678.0,
37,République centrafricaine,511,Population totale,3010,Population-Estimations,2017,4596023.0,
117,République de Corée,511,Population totale,3010,Population-Estimations,2017,51096415.0,
146,République de Moldova,511,Population totale,3010,Population-Estimations,2017,4059684.0,
250,République démocratique du Congo,511,Population totale,3010,Population-Estimations,2017,81398764.0,
120,République démocratique populaire lao,511,Population totale,3010,Population-Estimations,2017,6953035.0,
56,République dominicaine,511,Population totale,3010,Population-Estimations,2017,10513104.0,
116,République populaire démocratique de Corée,511,Population totale,3010,Population-Estimations,2017,25429825.0,
215,République-Unie de Tanzanie,511,Population totale,3010,Population-Estimations,2017,54660339.0,
182,Réunion,511,Population totale,3010,Population-Estimations,2017,876134.0,
183,Roumanie,511,Population totale,3010,Population-Estimations,2017,19653969.0,
229,Royaume-Uni de Grande-Bretagne et d'Irlande du Nord,511,Population totale,3010,Population-Estimations,2017,66727460.99999999,
184,Rwanda,511,Population totale,3010,Population-Estimations,2017,11980961.0,
205,Sahara occidental,511,Population totale,3010,Population-Estimations,2017,552615.0,
282,Saint-Barthélemy,511,Population totale,3010,Population-Estimations,2017,9784.0,
187,"Sainte-Hélène, Ascension et Tristan da Cunha",511,Population totale,3010,Population-Estimations,2017,6008.0,
189,Sainte-Lucie,511,Population totale,3010,Population-Estimations,2017,180954.0,
188,Saint-Kitts-et-Nevis,511,Population totale,3010,Population-Estimations,2017,52045.0,
192,Saint-Marin,511,Population totale,3010,Population-Estimations,2017,33671.0,
281,Saint-Martin (partie française),511,Population totale,3010,Population-Estimations,2017,36560.0,
190,Saint-Pierre-et-Miquelon,511,Population totale,3010,Population-Estimations,2017,5887.0,
94,Saint-Siège,511,Population totale,3010,Population-Estimations,2017,793.0,
191,Saint-Vincent-et-les Grenadines,511,Population totale,3010,Population-Estimations,2017,109827.0,
244,Samoa,511,Population totale,3010,Population-Estimations,2017,195352.0,
5,Samoa américaines,511,Population totale,3010,Population-Estimations,2017,55620.0,
