iso3,Pays,Continent,Population,PIB (US$)/hab,Disponibilité alimentaire en quantité (kg/personne/an),Exportations - Quantité(Tonnes),Importations - Quantité(Tonnes),distance
NER,Niger,Afrique,21602382.0,517.975030051999,0.94,0.0,3000.0,3932.638
NGA,Nigéria,Afrique,190873244.0,1968.56473841262,1.01,0.0,0.0,4722.149
NOR,Norvège,Europe,5296326.0,75496.7540581998,19.05,0.0,2000.0,1342.89
NZL,Nouvelle-Zélande,Océanie,4702034.0,42674.0620030713,34.79,23000.0,1000.0,19263.88
NPL,Népal,Asie,27632681.0,911.444266521259,1.99,0.0,0.0,7244.016
OMN,Oman,Asie,4665928.0,15130.5207386726,21.63,16000.0,126000.0,5620.005
UGA,Ouganda,Afrique,41166588.0,747.196907377979,1.52,0.0,0.0,6128.938
UZB,Ouzbékistan,Asie,31959785.0,1826.56691924216,1.96,0.0,0.0,5153.064
PAK,Pakistan,Asie,207906209.0,1464.99330546855,5.86,4000.0,2000.0,5932.586
PAN,Panama,Amérique,4106769.0,15150.345612161,33.82,0.0,20000.0,8671.104
PRY,Paraguay,Amérique,6867061.0,5680.58076826353,5.99,4000.0,1000.0,10168.73
NLD,Pays-Bas,Europe,17021347.0,48675.2223350213,20.33,1418000.0,608000.0,427.9169
PHL,Philippines,Asie,105172925.0,3123.23422944462,13.87,2000.0,249000.0,10751.64
POL,Pologne,Europe,37953180.0,13864.6817579973,30.3,1025000.0,55000.0,1368.178
PRT,Portugal,Europe,10288527.0,21490.429863104,30.58,44000.0,82000.0,1452.86
PER,Pérou,Amérique,31444298.0,6710.50802896038,13.47,1000.0,60000.0,10268.11
GBR,Royaume-Uni de Grande-Bretagne et d'Irlande du Nord,Europe,66727460.99999999,40361.4173832159,31.94,359000.0,779000.0,342.9475
RWA,Rwanda,Afrique,11980961.0,772.318471775428,1.49,0.0,0.0,6253.41
CAF,République centrafricaine,Afrique,4596023.0,450.900244979058,2.29,0.0,4000.0,5186.042
KOR,République de Corée,Asie,51096415.0,31616.8434004683,16.7,6000.0,137000.0,8981.467
MDA,République de Moldova,Europe,4059684.0,3509.69345025814,16.14,0.0,16000.0,1976.854
DOM,République dominicaine,Amérique,10513104.0,7609.33879952227,35.26,6000.0,42000.0,7178.52
LAO,République démocratique populaire lao,Asie,6953035.0,2423.8462031921,10.91,0.0,0.0,9245.57
TZA,République-Unie de Tanzanie,Afrique,54660339.0,1004.84112066441,1.88,0.0,2000.0,7168.277
KNA,Saint-Kitts-et-Nevis,Amérique,52045.0,19158.7448006081,55.77,0.0,4000.0,6760.687
VCT,Saint-Vincent-et-les Grenadines,Amérique,109827.0,7212.96018080962,72.31,0.0,9000.0,6989.701
LCA,Sainte-Lucie,Amérique,180954.0,11047.4449858109,56.69,0.0,10000.0,6903.772
