"Country Code","Année","Valeur"
"LSO",2017,1150.07917350089
"LTE",2017,9029.7116903086
"LTU",2017,16885.4073948373
"LUX",2017,107627.151006695
"LVA",2017,15682.2214493267
"MAC",2017,81516.6749248075
"MAR",2017,3036.32525487301
"MCO",2017,167517.059727856
"MDA",2017,3509.69345025814
"MDG",2017,515.29272487784
"MDV",2017,9577.62519371477
"MEA",2017,7416.58584269787
"MEX",2017,9287.84973619382
"MHL",2017,3666.69537359193
"MIC",2017,5196.35120741564
"MKD",2017,5430.87421029797
"MLI",2017,830.018367429228
"MLT",2017,28091.8616473935
"MMR",2017,1291.54241301307
"MNA",2017,3815.06235567043
"MNE",2017,7784.08791153906
"MNG",2017,3669.4175404033
"MNP",2017,28305.222587603
"MOZ",2017,461.415094120589
"MRT",2017,1578.11417355949
"MUS",2017,10484.9083620411
"MWI",2017,356.717573153369
"MYS",2017,10259.1817806895
"NAC",2017,58563.8386079219
"NAM",2017,5303.30917087143
"NER",2017,517.975030051999
"NGA",2017,1968.56473841262
"NIC",2017,2159.157867515
"NLD",2017,48675.2223350213
"NOR",2017,75496.7540581998
"NPL",2017,911.444266521259
"NRU",2017,8510.86840824456
"NZL",2017,42674.0620030713
"OED",2017,37415.7120057609
"OMN",2017,15130.5207386726
"OSS",2017,13230.8250084338
"PAK",2017,1464.99330546855
"PAN",2017,15150.345612161
"PER",2017,6710.50802896038
"PHL",2017,3123.23422944462
"PLW",2017,16066.1949685535
"PNG",2017,2695.25188280292
"POL",2017,13864.6817579973
"PRE",2017,1416.52067917685
"PRI",2017,31108.7527508912
"PRT",2017,21490.429863104
"PRY",2017,5680.58076826353
"PSE",2017,3620.36048715937
"PSS",2017,4216.56193921309
"PST",2017,42928.6921610411
"QAT",2017,59124.9323657393
"ROU",2017,10807.7953907179
"RUS",2017,10720.3325853448
"RWA",2017,772.318471775428
"SAS",2017,1866.1590187187
"SAU",2017,20803.7459178785
"SDN",2017,1111.86844893858
"SEN",2017,1361.69958778497
"SGP",2017,60913.745333494
"SLB",2017,2332.8148736562
"SLE",2017,499.38070781976
"SLV",2017,3910.25719295906
"SMR",2017,45399.0290605549
"SRB",2017,6292.54362926707
"SSA",2017,1551.28375110909
"SSF",2017,1563.36124041292
"SST",2017,12048.349773617
"STP",2017,1813.78323514196
"SUR",2017,5637.5149461838
"SVK",2017,17556.6008176369
"SVN",2017,23512.8172674713
"SWE",2017,53791.5087298403
"SWZ",2017,3914.61325245175
"SXM",2017,29369.0568278169
"SYC",2017,15906.0839118192
"TCA",2017,27545.8709416678
"TCD",2017,665.94835269506
"TEA",2017,7249.10181549539
"TEC",2017,8552.95276099233
"TGO",2017,626.091527901405
"THA",2017,6592.91490169864
"TJK",2017,806.041573098044
"TKM",2017,6587.09031628698
"TLA",2017,9303.04856215472
"TLS",2017,1286.40575068308
"TMN",2017,3816.59680341189
"TON",2017,4513.60953145965
"TSA",2017,1866.1590187187
"TSS",2017,1563.36124041292
"TTO",2017,16238.1931916674
"TUN",2017,3481.22873876516
"TUR",2017,10591.4743712025
"TUV",2017,3572.49357894833
"TZA",2017,1004.84112066441
"UGA",2017,747.196907377979
"UKR",2017,2640.67567655839
"UMC",2017,8368.5004770471
"URY",2017,17322.1473894404
"USA",2017,60062.2223132211
"UZB",2017,1826.56691924216
"VCT",2017,7212.96018080962
"VIR",2017,35933.6695220962
"VNM",2017,2365.62166567374
"VUT",2017,3082.35632289041
"WLD",2017,10827.6585821628
"WSM",2017,4259.7650014189
"XKX",2017,4045.61420880757
"YEM",2017,960.528533738514
"ZAF",2017,6131.47944960886
"ZMB",2017,1534.86675111219
"ZWE",2017,1548.17005572552
